Name,League,ATT,MID,DEF,OVR,Logo
FC Barcelona,LaLiga Santander,90,85,85,86,/static/FIFA20/images/crest/5/light/241.webp
Real Madrid,LaLiga Santander,86,87,86,86,/static/FIFA20/images/crest/5/light/243.webp
Manchester City,Premier League,86,87,83,86,/static/FIFA20/images/crest/5/light/10.webp
FC Bayern,Bundesliga,90,84,83,85,/static/FIFA20/images/crest/5/light/21.webp
Paris,Ligue 1 Conforama,87,85,83,85,/static/FIFA20/images/crest/5/light/73.webp
Juventus,Serie A TIM,86,84,83,85,/static/FIFA20/images/crest/5/light/notfound.png
Liverpool,Premier League,86,83,84,84,/static/FIFA20/images/crest/5/light/notfound.png
Spurs,Premier League,86,82,83,83,/static/FIFA20/images/crest/5/light/notfound.png
Atlético Madrid,LaLiga Santander,82,82,81,83,/static/FIFA20/images/crest/5/light/notfound.png
Napoli,Serie A TIM,84,84,81,82,/static/FIFA20/images/crest/5/light/notfound.png
Dortmund,Bundesliga,82,83,83,82,/static/FIFA20/images/crest/5/light/notfound.png
Arsenal,Premier League,86,82,79,81,/static/FIFA20/images/crest/5/light/notfound.png
Manchester Utd,Premier League,83,80,80,81,/static/FIFA20/images/crest/5/light/notfound.png
Inter,Serie A TIM,83,79,86,81,/static/FIFA20/images/crest/5/light/notfound.png
Valencia CF,LaLiga Santander,81,81,80,81,/static/FIFA20/images/crest/5/light/notfound.png
Chelsea,Premier League,79,82,79,81,/static/FIFA20/images/crest/5/light/notfound.png
Real Betis,LaLiga Santander,82,82,78,80,/static/FIFA20/images/crest/5/light/notfound.png
Lazio,Serie A TIM,81,81,80,80,/static/FIFA20/images/crest/5/light/notfound.png
Leverkusen,Bundesliga,81,81,79,80,/static/FIFA20/images/crest/5/light/notfound.png
Milan,Serie A TIM,80,80,79,80,/static/FIFA20/images/crest/5/light/notfound.png
Roma,Serie A TIM,80,78,80,80,/static/FIFA20/images/crest/5/light/notfound.png
Atalanta,Serie A TIM,82,78,78,79,/static/FIFA20/images/crest/5/light/notfound.png
RB Leipzig,Bundesliga,81,80,78,79,/static/FIFA20/images/crest/5/light/notfound.png
Athletic Club,LaLiga Santander,81,79,79,79,/static/FIFA20/images/crest/5/light/notfound.png
Ajax,Eredivisie,80,79,78,79,/static/FIFA20/images/crest/5/light/notfound.png
OL,Ligue 1 Conforama,80,78,77,79,/static/FIFA20/images/crest/5/light/notfound.png
Sevilla FC,LaLiga Santander,79,80,79,79,/static/FIFA20/images/crest/5/light/notfound.png
FC Porto,Liga NOS,79,78,81,79,/static/FIFA20/images/crest/5/light/notfound.png
AS Monaco,Ligue 1 Conforama,79,78,76,79,/static/FIFA20/images/crest/5/light/notfound.png
SL Benfica,Liga NOS,78,79,80,79,/static/FIFA20/images/crest/5/light/notfound.png
Everton,Premier League,77,79,80,79,/static/FIFA20/images/crest/5/light/7.webp
West Ham,Premier League,83,79,76,78,/static/FIFA20/images/crest/5/light/19.webp
Villarreal CF,LaLiga Santander,80,77,78,78,/static/FIFA20/images/crest/5/light/483.webp
Torino,Serie A TIM,80,77,78,78,/static/FIFA20/images/crest/5/light/54.webp
Leicester City,Premier League,80,77,77,78,/static/FIFA20/images/crest/5/light/95.webp
Real Sociedad,LaLiga Santander,79,79,76,78,/static/FIFA20/images/crest/5/light/notfound.png
SD Eibar,LaLiga Santander,79,78,76,78,/static/FIFA20/images/crest/5/light/notfound.png
Frankfurt,Bundesliga,79,77,78,78,/static/FIFA20/images/crest/5/light/notfound.png
Getafe CF,LaLiga Santander,79,76,78,78,/static/FIFA20/images/crest/5/light/notfound.png
TSG Hoffenheim,Bundesliga,79,76,76,78,/static/FIFA20/images/crest/5/light/notfound.png
M'gladbach,Bundesliga,78,78,78,78,/static/FIFA20/images/crest/5/light/notfound.png
Wolves,Premier League,77,81,77,78,/static/FIFA20/images/crest/5/light/notfound.png
Watford,Premier League,77,79,76,78,/static/FIFA20/images/crest/5/light/notfound.png
VfL Wolfsburg,Bundesliga,77,78,76,78,/static/FIFA20/images/crest/5/light/notfound.png
RC Celta,LaLiga Santander,80,77,75,77,/static/FIFA20/images/crest/5/light/notfound.png
Galatasaray,Süper Lig,79,78,76,77,/static/FIFA20/images/crest/5/light/notfound.png
River Plate,SAF,78,77,75,77,/static/FIFA20/images/crest/5/light/notfound.png
Newcastle Utd,Premier League,78,76,76,77,/static/FIFA20/images/crest/5/light/notfound.png
Sporting CP,Liga NOS,77,79,76,77,/static/FIFA20/images/crest/5/light/notfound.png
OM,Ligue 1 Conforama,77,79,75,77,/static/FIFA20/images/crest/5/light/notfound.png
RCD Espanyol,LaLiga Santander,77,78,76,77,/static/FIFA20/images/crest/5/light/notfound.png
Boca Juniors,SAF,76,77,76,77,/static/FIFA20/images/crest/5/light/notfound.png
Werder Bremen,Bundesliga,75,79,75,77,/static/FIFA20/images/crest/5/light/notfound.png
Crystal Palace,Premier League,75,78,76,77,/static/FIFA20/images/crest/5/light/notfound.png
AFC Bournemouth,Premier League,75,77,75,77,/static/FIFA20/images/crest/5/light/notfound.png
Beşiktaş,Süper Lig,79,76,76,76,/static/FIFA20/images/crest/5/light/notfound.png
Fiorentina,Serie A TIM,78,75,77,76,/static/FIFA20/images/crest/5/light/notfound.png
PSV,Eredivisie,78,75,75,76,/static/FIFA20/images/crest/5/light/notfound.png
Levante UD,LaLiga Santander,77,78,76,76,/static/FIFA20/images/crest/5/light/notfound.png
Lokomotiv Moscow,Rest of World,77,77,76,76,/static/FIFA20/images/crest/5/light/notfound.png
Burnley,Premier League,77,76,76,76,/static/FIFA20/images/crest/5/light/1796.webp
Racing Club,SAF,77,76,75,76,/static/FIFA20/images/crest/5/light/101085.webp
Brighton,Premier League,77,76,75,76,/static/FIFA20/images/crest/5/light/1808.webp
Hertha BSC,Bundesliga,77,75,75,76,/static/FIFA20/images/crest/5/light/166.webp
LOSC Lille,Ligue 1 Conforama,76,77,75,76,/static/FIFA20/images/crest/5/light/65.webp
Cagliari,Serie A TIM,76,77,72,76,/static/FIFA20/images/crest/5/light/notfound.png
Schalke,Bundesliga,76,76,77,76,/static/FIFA20/images/crest/5/light/notfound.png
SC Braga,Liga NOS,76,76,76,76,/static/FIFA20/images/crest/5/light/notfound.png
Club Brugge,Pro League,76,76,76,76,/static/FIFA20/images/crest/5/light/notfound.png
ASSE,Ligue 1 Conforama,76,75,76,76,/static/FIFA20/images/crest/5/light/notfound.png
Fenerbahçe,Süper Lig,75,77,75,76,/static/FIFA20/images/crest/5/light/notfound.png
Southampton,Premier League,75,76,76,76,/static/FIFA20/images/crest/5/light/notfound.png
D. Alavés,LaLiga Santander,75,75,76,76,/static/FIFA20/images/crest/5/light/notfound.png
Shakhtar Donetsk,Rest of World,78,76,73,75,/static/FIFA20/images/crest/5/light/notfound.png
Sampdoria,Serie A TIM,77,75,75,75,/static/FIFA20/images/crest/5/light/notfound.png
Tigres,LIGA Bancomer MX,77,75,74,75,/static/FIFA20/images/crest/5/light/notfound.png
Köln,Bundesliga,77,75,74,75,/static/FIFA20/images/crest/5/light/notfound.png
Stade Rennais,Ligue 1 Conforama,76,76,74,75,/static/FIFA20/images/crest/5/light/notfound.png
Udinese,Serie A TIM,76,75,74,75,/static/FIFA20/images/crest/5/light/notfound.png
R. Valladolid CF,LaLiga Santander,76,75,73,75,/static/FIFA20/images/crest/5/light/notfound.png
FC Augsburg,Bundesliga,76,74,75,75,/static/FIFA20/images/crest/5/light/notfound.png
Bologna,Serie A TIM,75,77,74,75,/static/FIFA20/images/crest/5/light/notfound.png
Independiente,SAF,75,75,75,75,/static/FIFA20/images/crest/5/light/notfound.png
CD Leganés,LaLiga Santander,75,75,75,75,/static/FIFA20/images/crest/5/light/notfound.png
Montpellier HSC,Ligue 1 Conforama,75,75,75,75,/static/FIFA20/images/crest/5/light/notfound.png
Olympiacos CFP,Rest of World,75,75,74,75,/static/FIFA20/images/crest/5/light/notfound.png
Aston Villa,Premier League,75,75,74,75,/static/FIFA20/images/crest/5/light/notfound.png
Girondins de Bx,Ligue 1 Conforama,75,74,76,75,/static/FIFA20/images/crest/5/light/notfound.png
1. FSV Mainz 05,Bundesliga,75,74,75,75,/static/FIFA20/images/crest/5/light/notfound.png
Sassuolo,Serie A TIM,75,74,73,75,/static/FIFA20/images/crest/5/light/notfound.png
Başakşehir,Süper Lig,74,75,76,75,/static/FIFA20/images/crest/5/light/101014.webp
OGC Nice,Ligue 1 Conforama,74,74,76,75,/static/FIFA20/images/crest/5/light/72.webp
Genoa,Serie A TIM,73,75,77,75,/static/FIFA20/images/crest/5/light/110556.webp
PAOK,Rest of World,73,75,74,75,/static/FIFA20/images/crest/5/light/393.webp
Grêmio,Liga do Brasil,72,75,74,75,/static/FIFA20/images/crest/5/light/1629.webp
Royal Antwerp FC,Pro League,78,74,73,74,/static/FIFA20/images/crest/5/light/notfound.png
Feyenoord,Eredivisie,77,73,74,74,/static/FIFA20/images/crest/5/light/notfound.png
Girona FC,LaLiga 1 I 2 I 3,77,73,73,74,/static/FIFA20/images/crest/5/light/notfound.png
Atlético Mineiro,Liga do Brasil,76,75,74,74,/static/FIFA20/images/crest/5/light/notfound.png
Norwich,Premier League,76,73,73,74,/static/FIFA20/images/crest/5/light/notfound.png
Dynamo Kyiv,Rest of World,75,75,74,74,/static/FIFA20/images/crest/5/light/notfound.png
Monterrey,LIGA Bancomer MX,75,75,74,74,/static/FIFA20/images/crest/5/light/notfound.png
Spartak Moscow,Rest of World,75,74,74,74,/static/FIFA20/images/crest/5/light/notfound.png
SC Freiburg,Bundesliga,75,74,73,74,/static/FIFA20/images/crest/5/light/notfound.png
KRC Genk,Pro League,74,76,74,74,/static/FIFA20/images/crest/5/light/notfound.png
Angers SCO,Ligue 1 Conforama,74,75,73,74,/static/FIFA20/images/crest/5/light/notfound.png
Toulouse FC,Ligue 1 Conforama,74,74,73,74,/static/FIFA20/images/crest/5/light/notfound.png
RC Strasbourg,Ligue 1 Conforama,74,74,73,74,/static/FIFA20/images/crest/5/light/notfound.png
RSC Anderlecht,Pro League,74,72,71,74,/static/FIFA20/images/crest/5/light/notfound.png
Slavia Praha,Rest of World,73,75,74,74,/static/FIFA20/images/crest/5/light/notfound.png
Internacional,Liga do Brasil,73,74,74,74,/static/FIFA20/images/crest/5/light/notfound.png
V. Guimarães,Liga NOS,72,73,74,74,/static/FIFA20/images/crest/5/light/notfound.png
Al Hilal,Saudi Professional League,79,74,71,73,/static/FIFA20/images/crest/5/light/notfound.png
Cruzeiro,Liga do Brasil,76,71,75,73,/static/FIFA20/images/crest/5/light/notfound.png
Granada CF,LaLiga Santander,75,74,73,73,/static/FIFA20/images/crest/5/light/notfound.png
Parma,Serie A TIM,75,74,72,73,/static/FIFA20/images/crest/5/light/notfound.png
Fulham,EFL Championship,75,74,70,73,/static/FIFA20/images/crest/5/light/notfound.png
Trabzonspor,Süper Lig,75,73,73,73,/static/FIFA20/images/crest/5/light/notfound.png
AEK Athens,Rest of World,75,73,73,73,/static/FIFA20/images/crest/5/light/notfound.png
SPAL,Serie A TIM,75,71,72,73,/static/FIFA20/images/crest/5/light/notfound.png
KAA Gent,Pro League,74,74,73,73,/static/FIFA20/images/crest/5/light/674.webp
CA Osasuna,LaLiga Santander,74,74,72,73,/static/FIFA20/images/crest/5/light/479.webp
Viktoria Plzeň,Rest of World,74,73,73,73,/static/FIFA20/images/crest/5/light/110468.webp
Amiens SC,Ligue 1 Conforama,74,73,72,73,/static/FIFA20/images/crest/5/light/1816.webp
CSKA Moscow,Rest of World,74,73,72,73,/static/FIFA20/images/crest/5/light/315.webp
Düsseldorf,Bundesliga,74,72,73,73,/static/FIFA20/images/crest/5/light/notfound.png
América,LIGA Bancomer MX,74,72,72,73,/static/FIFA20/images/crest/5/light/notfound.png
Celtic,Scottish Prem,73,75,72,73,/static/FIFA20/images/crest/5/light/notfound.png
RB Salzburg,Ö. Bundesliga,73,74,73,73,/static/FIFA20/images/crest/5/light/notfound.png
Rayo Vallecano,LaLiga 1 I 2 I 3,73,74,72,73,/static/FIFA20/images/crest/5/light/notfound.png
Hellas Verona,Serie A TIM,73,74,70,73,/static/FIFA20/images/crest/5/light/notfound.png
Sheffield Utd,Premier League,73,73,73,73,/static/FIFA20/images/crest/5/light/notfound.png
RCD Mallorca,LaLiga Santander,73,73,72,73,/static/FIFA20/images/crest/5/light/notfound.png
Standard Liège,Pro League,73,73,72,73,/static/FIFA20/images/crest/5/light/notfound.png
Dinamo Zagreb,Rest of World,73,73,72,73,/static/FIFA20/images/crest/5/light/notfound.png
Hamburg,Bundesliga 2,73,73,72,73,/static/FIFA20/images/crest/5/light/notfound.png
Rangers,Scottish Prem,73,72,73,73,/static/FIFA20/images/crest/5/light/notfound.png
FC Nantes,Ligue 1 Conforama,73,72,73,73,/static/FIFA20/images/crest/5/light/notfound.png
